X,Y,Z
-2.1774025,0.08916174,-0.0003243923
-2.1291537,0.10973634,-0.00030335135
-2.277958,0.01450579,0.00029742852
-2.1711342,0.059731923,0.00012135696
-2.350399,0.046968833,-0.000162216
-2.270228,0.02476681,0.00044080088
-2.299301,-0.004297469,0.005216301
-2.2098231,-0.0037525583,0.004218624
-2.057469,0.03750342,0.0042499034
-1.9836501,-0.008715623,0.0038930469
-1.8946732,0.0029634037,0.0039734696
-1.8353845,-0.014635023,0.0038507509
-1.7213584,0.05038833,0.0052115195
-1.6778167,0.02571639,0.005227159
-1.5003053,0.039347716,0.004899166
-1.365488,0.031199858,0.004243434
-1.237648,0.043855965,0.003929476
-1.1020985,0.04486835,0.0040834704
-0.9238481,0.031421836,0.002703899
-0.77189946,0.033524673,0.0016482207
-0.76467055,0.03257929,0.00041310175
-0.7913714,0.049056605,-0.00024202329
-0.87298924,0.016978223,0.00062326784
-0.72531986,0.07299544,0.00021886478
-0.47570112,0.10964223,5.724882e-06
0.21394166,0.0010329564,-3.785205e-05
0.74985385,-0.057355165,-0.00038083203
0.672594,0.02264706,-0.00052928575
0.48531553,0.017722234,-0.00031906564
0.5083162,-0.010987265,-0.0003866157
0.025446005,-0.017694855,-9.1240945e-05
-0.112176284,-0.028910663,-0.0003331093
0.0310862,0.052850563,1.3019373e-05
-0.2030939,-0.030644665,-0.0005344355
-0.10316809,0.03496182,-0.0002114463
-0.17642763,0.014501754,-0.00015217086
-0.27092728,0.011755887,-0.0003847561
-0.2857515,0.052589815,-0.00046321392
-0.44912466,0.01752538,-0.00026516133
-0.41014716,0.046349563,-0.00024686026
-0.49916428,0.05169179,-0.00031718507
-0.53154534,0.05636733,-6.298823e-05
-0.49807817,0.061054412,-6.280138e-05
-0.5541017,0.04333314,1.794508e-05
-0.5599889,0.063670985,-3.329997e-05
-0.62629455,0.06958373,-0.00015144021
-0.67810875,0.08256555,-1.42663675e-05
-0.6966211,0.059515756,-1.2948412e-05
-0.6654863,0.06453502,0.00021532066
-0.71063495,0.046277396,0.00034146704
-0.6982553,0.08067364,0.00054233853
-0.7063912,0.05647192,6.90788e-06
-0.7196971,0.04697942,4.4727287e-05
-0.71509224,0.044534538,-2.4052986e-05
-0.830215,0.056339707,8.604415e-05
-1.013874,0.04456344,0.00042118574
-1.1264863,0.039329108,3.4080404e-07
-0.98866975,0.09089906,-0.00017629322
-0.9380211,0.0126532875,0.0004217229
-0.59285253,0.0012203539,2.2311464e-05
-1.0070951,0.05614745,0.0003699761
-1.1140608,-0.06513074,0.00039697913
-0.9217035,0.015983796,0.00026522545
-0.8790745,0.029731054,0.0008068254
-0.8601826,-0.016173761,5.3999367e-05
-0.87334305,0.03744654,0.00028760105
-0.902235,-0.019606708,0.0006948384
-0.7833054,0.036848377,0.00042130312
-0.81722844,0.01914795,-1.5217211e-06
-0.7478605,0.040144995,2.8382344e-06
-0.724234,0.036684677,0.00040614125
-0.726838,0.007645864,0.00022304684
-0.65207654,0.053017758,0.00064957334
-0.6141613,0.041485775,3.0066627e-05
