Timestamp,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Filtered_X,Filtered_Y,Filtered_Z,Pose_X,Pose_Y,Pose_Z
1731474136.1091247,-0.3503468632698059,0.4290621280670166,-9.984729766845703,-6.861087292768364e-06,-2.5494545540077285e-05,1.230703985002536e-05,-3.440670832759631e-10,-1.0836658860503924e-09,5.192532941260491e-10
1731474136.1591787,-0.33983662724494934,0.4336758553981781,-9.985615730285645,-9.789235741657947e-06,-3.928706264902626e-05,1.892373990995929e-05,-4.613176978602697e-10,-1.4914721213284857e-09,7.15606709904191e-10
1731474136.2091148,-0.3425276577472687,0.41691985726356506,-9.980188369750977,-1.3318100983594215e-05,-5.762517323554206e-05,2.765723011147101e-05,-7.707536777994077e-10,-2.6427107484295994e-09,1.2694684100046865e-09
1731474136.25901,-0.34130141139030457,0.4240894317626953,-9.983531951904297,-1.7464270351747588e-05,-8.108071095877013e-05,3.8827220412798425e-05,-9.386267070433187e-10,-3.2982057562416963e-09,1.584532073427302e-09
1731474136.3090398,-0.3349152207374573,0.42120271921157837,-9.987563133239746,-2.226438352189673e-05,-0.00011004759942852922,5.276445691602092e-05,-1.3224626500720142e-09,-4.87862491071546e-09,2.3435926793191713e-09
1731474136.3588867,-0.27416113018989563,0.43637028336524963,-9.988398551940918,-2.785512151380339e-05,-0.00014474621399264913,6.978866931354673e-05,-1.547278095557993e-09,-5.8452791986747285e-09,2.807912709878444e-09
1731474136.408835,-0.46316227316856384,0.3740302622318268,-9.99268913269043,-3.454080472005987e-05,-0.00018523679838715662,9.016858518442697e-05,-2.0809122130850968e-09,-8.246811940930805e-09,3.964314331139784e-09
1731474136.4588637,-0.7430660724639893,0.23497319221496582,-10.004386901855469,-4.2184402190922915e-05,-0.00023116787094219115,0.00011407621710184717,-2.4006522033685308e-09,-9.73844213461578e-09,4.685023188273304e-09
1731474136.5088224,-0.7430660724639893,0.23497319221496582,-10.004386901855469,-4.847460211802113e-05,-0.0002810550930555268,0.00014152522541921176,-7.447475694152442e-08,-4.1016995664218716e-07,2.0482802435133904e-07
1731474136.5088224,-0.1835746020078659,0.5284029841423035,-9.957141876220703,-4.7652919570007824e-05,-0.00033177139668442404,0.00017235549030233236,-7.506445094883909e-08,-4.135101006239856e-07,2.065032120567667e-07
1731474136.5587819,-0.32869449257850647,0.37620213627815247,-10.047292709350586,-3.181439628526079e-05,-0.00037919453820375025,0.0002063018574514063,-2.479873670647951e-07,-1.6406493025024628e-06,8.420255935285968e-07
