Timestamp,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Filtered_X,Filtered_Y,Filtered_Z,Pose_X,Pose_Y,Pose_Z
1776675622.1573427,0.0,0.0095800785347819,9.79084014892578,0.0,1.721513568979468e-08,0.0,0.0,8.114083579851896e-08,0.0
1776675622.1793597,0.0095800785347819,0.0095800785347819,9.80041980743408,8.60756784489734e-09,1.5210993561359753e-07,8.607190456922935e-09,5.172037075338048e-13,8.172939839684467e-08,5.17181031388457e-13
1776675622.2013497,0.0047900392673909,0.0,9.80521011352539,7.175118388435004e-08,6.691844501999384e-07,8.035565693253959e-08,5.895288047686291e-12,8.236957936969011e-08,6.4157028927814814e-12
1776675622.223349,0.0143701173365116,0.0191601570695639,9.80521011352539,3.0947609254552527e-07,2.0203379821550056e-06,3.769107527365704e-07,3.429949224744235e-11,8.317177709189828e-08,3.9933257341455515e-11
1776675622.2453585,0.0047900392673909,0.0047900392673909,9.78604984283447,9.375882993082632e-07,4.83201877357386e-06,1.191785533320019e-06,1.3800680458368947e-10,8.438766345467668e-08,1.6817563735249792e-10
1776675622.2683477,-0.0095800785347819,0.0,9.78604984283447,2.2459933224793e-06,9.883208058113334e-06,2.8834603652577476e-06,4.5530586466463134e-10,8.662516780468008e-08,5.696391082775045e-10
1776675622.2893424,0.0095800785347819,0.0047900392673909,9.79084014892578,4.527592089765488e-06,1.80413632302436e-05,5.765975514005604e-06,1.13243205218863e-09,9.026904395138436e-08,1.4309802833309303e-09
1776675622.3113723,-0.0047900392673909,0.0095800785347819,9.8100004196167,8.026331509515535e-06,3.0197830350872048e-05,1.0076685470066916e-05,2.5857235041929615e-09,9.693928260640768e-08,3.2719840677768014e-09
1776675622.3333392,0.0047900392673909,0.0,9.80521011352539,1.2940898249189717e-05,4.7255208639824046e-05,1.6057263569486412e-05,5.304582408772241e-09,1.0828436502665938e-07,6.690411560062492e-09
1776675622.3553371,0.0,-0.0095800785347819,9.80521011352539,1.9436873564689164e-05,7.010728749560295e-05,2.405234717117403e-05,9.991312180467604e-09,1.2676591633824127e-07,1.2546750522371334e-08
1776675622.3773906,-0.0143701173365116,0.0047900392673909,9.8100004196167,2.763581077685806e-05,9.95741825428936e-05,3.454011781545314e-05,1.7520257346160396e-08,1.5549059002193714e-07,2.1940819246733292e-08
1776675622.3993413,0.0,0.0,9.78604984283447,3.7576279209196434e-05,0.00013636052668560014,4.8100366299213214e-05,2.897532529036275e-08,1.9841785536602695e-07,3.63104482013009e-08
1776675622.4213414,-0.0047900392673909,0.0191601570695639,9.78604984283447,4.918607086392088e-05,0.00018107682695299866,6.532552603362596e-05,4.568470715633448e-08,2.605702127907967e-07,5.7548560384937776e-08
1776675622.4433672,0.0,0.0,9.78604984283447,6.230732000978337e-05,0.0002342840815807808,8.669728567450082e-05,6.918290067926216e-08,3.480138788369283e-07,8.804071208723072e-08
1776675622.4653404,-0.023950194939971,0.0,9.79562950134277,7.671892818155785e-05,0.00029650166499772893,0.00011252162473169533,1.0103044370913116e-07,4.6733914103935904e-07,1.305041654513839e-07
1776675622.4873435,0.0,-0.0095800785347819,9.79084014892578,9.210482525072627e-05,0.0003681495344481157,0.00014295734916256492,1.4309163072029864e-07,6.268727441959913e-07,1.88421591406909e-07
1776675622.5093784,0.0,0.0047900392673909,9.80521011352539,0.00010804127114663682,0.0004494784958308206,0.00017808066747666,1.9739002586871e-07,8.363697330111072e-07,2.659461316959073e-07
1776675622.5323706,0.0047900392673909,0.0,9.8100004196167,0.00012406939813578365,0.000540564442572163,0.00021795809442422698,2.690644168435865e-07,1.1190612568223202e-06,3.724844225986533e-07
1776675622.5543346,0.0,0.0287402346730232,9.78604984283447,0.00013978328224814541,0.0006413785689537509,0.0002627083243283222,3.5402643012460736e-07,1.4628576076019248e-06,5.04223759655799e-07
1776675622.5763793,-0.0191601570695639,-0.0191601570695639,9.8100004196167,0.00015483971899786156,0.0007518739199987792,0.00031249801110965804,4.571401329979293e-07,1.8923398694649488e-06,6.713116577024282e-07
1776675622.5983381,0.0095800785347819,-0.023950194939971,9.79084014892578,0.0001689014105545197,0.0008719556515000799,0.000367498701362891,5.788928236323321e-07,2.4160129468979523e-06,8.779455946449546e-07
