Timestamp,Pose_X,Confidence_1,Confidence_1_dev,Pose_Y,Confidence_2,Confidence_2_dev,Pose_Z,Confidence_3,Confidence_3_dev,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Sonar_distance_1,Sonar_distance_2,Sonar_distance_3,Angle_X,Angle_Y,Angle_Z
1730865949.1342292,0.8653746247291565,98.84444427490234,100.0,0.8750282526016235,93.46665954589844,72.0,0.8868256211280823,96.79999542236328,96.0,0.12876967674768836,-0.027201144255520088,0.006258055247760016,870.0,902.0,901.0,173.4440143649927,9.815348930825945,1.1511011357623324
1730865955.0333755,0.9421256184577942,98.02222442626953,96.0,4.891749858856201,0.0,84.0,0.8899463415145874,100.0,100.0,0.013564715672334979,-0.032090307714752915,-0.015508486461734933,950.0,6666.0,890.0,173.5113667589547,9.951006829692535,-7.033752833846529
1730865956.1852765,0.9697354435920715,94.4000015258789,100.0,6.643341064453125,94.4889144897461,87.0,0.8792499899864197,97.93333435058594,100.0,-0.12988610793452887,0.08812881725856145,0.09737252577881195,995.0,6617.0,870.0,174.0950472580808,10.310093554795456,-2.6088921359529578
1730865959.3839538,1.0653979778289795,98.31110382080078,100.0,6.400925636291504,89.62226104736328,62.0,0.8926624655723572,97.9111099243164,94.0,0.06683519071314617,-0.03721756887967422,-0.07795829347641547,1072.0,6359.0,902.0,173.21917678465724,9.829198090088559,-4.4585105159805325
1730865961.4334004,1.0986331701278687,98.977783203125,94.0,2.825113534927368,0.0,67.0,0.8912863731384277,98.3777847290039,94.0,0.08953514104918542,-0.07398505728619176,-0.13081083850404585,1102.0,1633.0,899.0,173.70626504420676,9.382170513576131,-10.059385436869647
1730865961.5833516,1.1027014255523682,99.24444580078125,95.0,1.830640435218811,0.0,67.0,0.8909180760383606,98.28889465332031,94.0,-0.11854583481590196,-0.07705959995225886,-0.028940367661184765,1105.0,1633.0,899.0,173.86195369539706,9.4563359693815,-9.514102374536249
1730865962.0337183,1.1032377481460571,99.977783203125,95.0,1.6043063402175903,99.53333282470703,69.0,0.8954222798347473,99.44444274902344,94.0,0.07511568917445632,-0.058558944687511966,0.008378640576593488,1103.0,1636.0,898.0,173.83169685554802,10.004469192962294,-7.761442776064141
1730865962.1345162,1.1035083532333374,99.91111755371094,95.0,1.6237939596176147,99.5999984741211,69.0,0.8969539403915405,99.77777862548828,94.0,-0.13504567971381382,-0.13863076789667514,0.019664635044451484,1103.0,1636.0,898.0,173.87832948951464,10.064441027236299,-7.292630786882635
1730865965.2333581,1.1181062459945679,99.28887939453125,94.0,5.846046447753906,82.04444122314453,77.0,0.9250431060791016,99.0666732788086,97.0,-0.0032290969575146404,0.014401489492470885,0.009889662998149876,1121.0,5771.0,920.0,173.34191470225167,9.565463629709436,-4.272547744919495
1730865968.4353733,1.1353461742401123,98.68888092041016,83.0,5.38796854019165,78.44445037841797,79.0,0.9161052703857422,99.75556182861328,97.0,-0.06277716864651728,0.03401387484798887,0.015670016779266615,1141.0,5294.0,915.0,173.7295489388891,9.600115884374473,-4.7884486103242745
