Timestamp,Pose_X,Confidence_1,Confidence_1_dev,Pose_Y,Confidence_2,Confidence_2_dev,Pose_Z,Confidence_3,Confidence_3_dev,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Sonar_distance_1,Sonar_distance_2,Sonar_distance_3
1730865949.1340065,0.28863757848739624,98.84444427490234,100.0,-1.881603479385376,93.46665954589844,72.0,0.3214733600616455,96.79999542236328,96.0,0.04210855898157839,-0.07571897469254206,-0.02422125355924863,870.0,902.0,901.0
1730865955.0333755,0.94142746925354,98.02222442626953,96.0,4.372488021850586,0.0,84.0,0.88935786485672,100.0,100.0,0.013434602750105232,-0.03383511689783721,-0.01648411266274813,950.0,6666.0,890.0
1730865956.1852765,0.9680969715118408,94.4000015258789,100.0,7.249641418457031,94.4889144897461,87.0,0.882059633731842,97.93333435058594,100.0,-0.17665245309440347,0.13997254472329024,0.13980973079255596,995.0,6617.0,870.0
1730865959.3839805,1.068291187286377,98.31110382080078,100.0,6.413197040557861,89.62226104736328,62.0,0.8922001719474792,97.9111099243164,94.0,-0.013038745251555135,0.00668226239932056,-0.01215191780965967,1072.0,6359.0,902.0
1730865961.4334004,1.1014124155044556,98.977783203125,94.0,3.0503487586975098,0.0,67.0,0.8927424550056458,98.3777847290039,94.0,0.05124890291247976,-0.10055811857018518,-0.11407629667576058,1102.0,1633.0,899.0
1730865961.5833516,1.1045106649398804,99.24444580078125,95.0,2.114044189453125,0.0,67.0,0.891648530960083,98.28889465332031,94.0,-0.16150205294678327,0.04165835482564308,0.0698586757452701,1105.0,1633.0,899.0
1730865962.0337183,1.10653817653656,99.977783203125,95.0,1.2357990741729736,99.53333282470703,69.0,0.8947902917861938,99.44444274902344,94.0,-0.0810837586349786,-0.09558325849426956,0.018593808194079804,1103.0,1636.0,898.0
1730865962.1345162,1.106976866722107,99.91111755371094,95.0,1.226123332977295,99.5999984741211,69.0,0.896241307258606,99.77777862548828,94.0,-0.20771013486799764,-0.1304177648014209,0.02537903930618782,1103.0,1636.0,898.0
1730865965.2333581,1.1173869371414185,99.28887939453125,94.0,6.0595784187316895,82.04444122314453,77.0,0.9235891699790955,99.0666732788086,97.0,-0.007889545351447024,0.01928529495866533,0.012725367557390763,1121.0,5771.0,920.0
1730865968.4334073,1.1367907524108887,98.68888092041016,83.0,5.370957374572754,78.44445037841797,79.0,0.9169257879257202,99.75556182861328,97.0,0.024578836913172027,0.017206471844673665,-0.04095465608459529,1141.0,5294.0,915.0
1730865968.5333052,1.137727975845337,98.99999237060547,83.0,5.359964370727539,82.82222747802734,79.0,0.9161940813064575,99.82222747802734,97.0,0.09394004330856907,0.01426222453532239,-0.07213494406206636,1141.0,5294.0,915.0
1730865969.0839987,1.1464741230010986,98.5333251953125,100.0,5.284991264343262,73.71107482910156,83.0,0.9144327044487,99.77777099609375,97.0,-0.0023012586028858095,-0.03411919658701656,-0.011814300448531628,1149.0,5179.0,914.0
1730865970.5334573,1.1668683290481567,96.3555679321289,100.0,5.070554733276367,85.95553588867188,50.0,0.891053318977356,98.82222747802734,100.0,0.029473479910624746,-0.022964266206955283,-0.012844501338957034,1180.0,5036.0,887.0
1730865971.083417,1.1760451793670654,96.86666107177734,100.0,5.00195837020874,87.4666976928711,50.0,0.8829196691513062,99.86666870117188,100.0,0.1609914017854354,-0.007567998281720766,-0.13996318032751764,1189.0,4967.0,888.0
1730865973.682793,1.2242558002471924,97.91111755371094,100.0,4.732475757598877,88.13335418701172,50.0,0.8993819355964661,99.13333129882812,95.0,0.1035952236474354,0.10139604547290434,-0.10788401898785827,1232.0,4702.0,902.0
1730865975.8351774,1.2490475177764893,96.33333587646484,100.0,4.47776460647583,87.2666244506836,50.0,0.9006346464157104,99.80000305175781,95.0,-0.006678293599555718,-0.026047720674929845,-0.0039955266980306586,1265.0,4423.0,901.0
1730865975.933179,1.2512706518173218,96.8888931274414,100.0,4.464456558227539,89.66663360595703,50.0,0.9004877805709839,99.84444427490234,95.0,-0.05855616083987597,-0.02644348692623945,0.02418165515929967,1265.0,4423.0,901.0
1730865977.4833887,1.290102243423462,98.91109466552734,100.0,4.278566837310791,88.79997253417969,66.0,0.8879550695419312,99.97777557373047,95.0,0.007367528860220077,-0.050077349152793896,-0.04053852112216652,1292.0,4239.0,888.0
1730865978.5834239,1.3204892873764038,96.20000457763672,100.0,4.142916202545166,85.20000457763672,100.0,0.8826457858085632,98.77777099609375,100.0,-0.006187674001294641,0.012440358678238303,0.03266846354240255,1299.0,4098.0,877.0
1730865978.9345264,1.3187916278839111,97.04443359375,100.0,4.109109878540039,80.59994506835938,100.0,0.8795875906944275,99.5111083984375,100.0,0.027764674749406408,-0.002421023714044486,-0.04044213826300908,1300.0,4036.0,877.0
1730865980.5829203,1.3079038858413696,98.24445343017578,100.0,3.9165101051330566,90.19998168945312,83.0,0.8729449510574341,99.26666259765625,100.0,0.03691937847510152,-0.05198560243667742,0.005441201784817745,1299.0,3879.0,871.0
1730865981.1345203,1.305735468864441,98.79999542236328,100.0,3.84860897064209,92.26667022705078,66.0,0.8695350289344788,99.75556182861328,100.0,-0.008909207811091724,0.04745627610287649,0.03256075993559317,1298.0,3832.0,872.0
1730865982.6832743,1.2999483346939087,98.77777862548828,100.0,3.742269277572632,81.4888916015625,100.0,0.8774360418319702,99.15555572509766,100.0,0.05537134430401083,-0.06210295794910552,-0.012410949234357097,1294.0,3664.0,883.0
