Timestamp,Pose_X,Confidence_1,Confidence_1_dev,Pose_Y,Confidence_2,Confidence_2_dev,Pose_Z,Confidence_3,Confidence_3_dev,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Sonar_distance_1,Sonar_distance_2,Sonar_distance_3
1730865949.1340065,0.8659282326698303,100.0,100.0,1.0140856504440308,100.0,72.0,0.8879309296607971,100.0,96.0,0.10075722353377736,-0.005736350914899411,-0.0017656589699120225,870.0,902.0,901.0
1730865955.0333755,0.9421246647834778,100.0,96.0,1.8770021200180054,0.0,84.0,0.8899486660957336,100.0,100.0,0.013372327096924996,-0.03338266045736697,-0.016386253568639892,950.0,6666.0,890.0
1730865956.1852765,0.9697352647781372,100.0,100.0,1.8701670169830322,0.0,87.0,0.8792502880096436,100.0,100.0,-0.12981359569897294,0.0881089792712744,0.09727606550361101,995.0,6617.0,870.0
1730865959.3839805,1.064588189125061,100.0,100.0,1.8442165851593018,0.0,62.0,0.8924202919006348,100.0,94.0,0.00951832615659781,-0.01160505669161462,-0.029146712840704067,1072.0,6359.0,902.0
1730865961.4334004,1.0985581874847412,100.0,94.0,1.5679858922958374,83.15555572509766,67.0,0.8913405537605286,100.0,94.0,0.10002318732012841,-0.07759850354702579,-0.14070340195783204,1102.0,1633.0,899.0
1730865961.5833516,1.1026999950408936,100.0,95.0,1.6247836351394653,100.0,67.0,0.8909178972244263,100.0,94.0,-0.11796322737057267,-0.07702061787039897,-0.02809607688185998,1105.0,1633.0,899.0
1730865962.0337183,1.1032365560531616,100.0,95.0,1.6355410814285278,100.0,69.0,0.8954226970672607,100.0,94.0,0.07573447461564317,-0.05874692472146703,0.007928527466333721,1103.0,1636.0,898.0
1730865962.1345162,1.103495717048645,100.0,95.0,1.6346133947372437,100.0,69.0,0.8969612121582031,100.0,94.0,-0.19055486252696263,-0.13271946002960736,0.023262538761546013,1103.0,1636.0,898.0
1730865965.2333581,1.1180773973464966,100.0,94.0,2.049110174179077,0.0,77.0,0.925075888633728,100.0,97.0,-0.0027206598229597323,0.029036438837930167,0.013766515315296095,1121.0,5771.0,920.0
1730865968.4334073,1.1364256143569946,100.0,83.0,2.0068352222442627,0.0,79.0,0.9164935946464539,100.0,97.0,-0.025196925501954376,0.030579069513811653,-0.011296218987275772,1141.0,5294.0,915.0
1730865968.5333052,1.1370187997817993,100.0,83.0,2.0013575553894043,0.0,79.0,0.9156374931335449,100.0,97.0,0.0752995390710406,0.018451374378767385,-0.06756716282269469,1141.0,5294.0,915.0
1730865969.0839987,1.1424622535705566,100.0,100.0,1.9907339811325073,0.0,83.0,0.9150261282920837,100.0,97.0,-0.00815438363735691,-0.034108081705204074,-0.007029415844079258,1149.0,5179.0,914.0
1730865970.5334573,1.1634994745254517,100.0,100.0,1.9758377075195312,0.0,50.0,0.8920463919639587,100.0,100.0,-0.00033612827321833597,-0.010106610801307144,-0.01204222255967707,1180.0,5036.0,887.0
1730865971.0846622,1.1748296022415161,100.0,100.0,1.969005823135376,0.0,50.0,0.8872767686843872,100.0,100.0,0.0622810119053638,0.011636298208333284,-0.03820155339128166,1189.0,4967.0,888.0
1730865973.682793,1.2234646081924438,100.0,100.0,1.9426946640014648,0.0,50.0,0.898289144039154,100.0,95.0,0.11216515597070642,0.08561274994549846,-0.1131754878434202,1232.0,4702.0,902.0
1730865975.8351774,1.2484893798828125,100.0,100.0,1.9145678281784058,0.0,50.0,0.9019311666488647,100.0,95.0,0.005646879228106096,-0.0437987461312037,-0.005725190545954469,1265.0,4423.0,901.0
1730865975.933179,1.2517551183700562,100.0,100.0,1.9144337177276611,0.0,50.0,0.9016805291175842,100.0,95.0,-0.04217687530524241,-0.033166387247678744,0.022008997114390833,1265.0,4423.0,901.0
1730865977.4833887,1.2872109413146973,100.0,100.0,1.8962914943695068,0.0,66.0,0.8877262473106384,100.0,95.0,0.007164157189396501,-0.042177544793044086,-0.03725087988506561,1292.0,4239.0,888.0
1730865978.5843163,1.3165068626403809,100.0,100.0,1.8825420141220093,0.0,100.0,0.8823491930961609,100.0,100.0,0.002362553717200625,0.008510257089585022,0.051127350782244396,1299.0,4098.0,877.0
1730865978.9345264,1.3132294416427612,100.0,100.0,1.876688838005066,0.0,100.0,0.8790343403816223,100.0,100.0,0.026112313048005185,-0.0031254745096759738,-0.04476182802431206,1300.0,4036.0,877.0
1730865980.5829203,1.3071285486221313,100.0,100.0,1.860358476638794,0.0,83.0,0.8741584420204163,100.0,100.0,0.0367350108422112,-0.05153952805124288,0.005464436544675317,1299.0,3879.0,871.0
1730865981.1345203,1.3032692670822144,100.0,100.0,1.8557519912719727,0.0,66.0,0.8708159327507019,100.0,100.0,-0.008922109528504932,0.04749171850718183,0.03255916856651628,1298.0,3832.0,872.0
1730865982.6832743,1.2996461391448975,100.0,100.0,1.838283658027649,0.0,100.0,0.879417896270752,100.0,100.0,0.05598721491788168,-0.06341483865865719,-0.01296868108391519,1294.0,3664.0,883.0
1730865985.8323932,1.3250954151153564,100.0,100.0,1.8006240129470825,0.0,100.0,0.880238950252533,100.0,100.0,0.0028494441065231566,-0.033951263246726475,-0.007595715262248613,1334.0,3289.0,882.0
1730865986.78498,1.3497564792633057,100.0,95.0,1.7902398109436035,0.0,100.0,0.8811253905296326,100.0,100.0,0.005231740109381147,-0.0018966431595154715,0.012072196561016848,1376.0,3174.0,880.0
