Timestamp,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Filtered_X,Filtered_Y,Filtered_Z,Pose_X,Pose_Y,Pose_Z
1731474136.3090398,-0.3349152207374573,0.42120271921157837,-9.987563133239746,-1.5773521924990185e-05,-4.1103477379461315e-05,-3.980397350358697e-05,2.4459112470647852,8.148658943848297,0.8809999818259772
1731474136.3588867,-0.27416113018989563,0.43637028336524963,-9.988398551940918,-2.1735231927937594e-05,-5.6420254417913886e-05,-5.570566357674735e-05,2.4457752902486463,8.14932576859775,0.8809999815869871
1731474136.408835,-0.46316227316856384,0.3740302622318268,-9.99268913269043,-2.950537718439384e-05,-7.444925948229083e-05,-7.554122701140719e-05,2.4457273271297924,8.150248340594219,0.8809999814155421
1731474136.4588637,-0.7430660724639893,0.23497319221496582,-10.004386901855469,-3.9102417145455594e-05,-9.471055682545618e-05,-9.983795946610154e-05,2.445683997356866,8.151081789761967,0.8809999812272006
1731474136.5088224,-0.1835746020078659,0.5284029841423035,-9.957141876220703,-4.887168708857388e-05,-0.00011587907699851411,-0.00012919476347311119,2.445504154987402,8.154541057870407,0.880999979963997
1731474136.5587819,-0.1835746020078659,0.5284029841423035,-9.957141876220703,-5.56357878122504e-05,-0.00013602235712352896,-0.00016417010048465567,2.4450445289000475,8.163381932764256,0.8809999723268211
1731474136.6086814,-0.3212164640426636,0.5026140809059143,-9.98022747039795,-5.094073950115928e-05,-0.0001679475764557746,-0.0002524686968494824,2.440548159447836,8.22817516573805,0.8809995759010611
1731474136.6586556,-0.3097893297672272,0.373074471950531,-9.942727088928223,-3.857289138593738e-05,-0.00017888226535853107,-0.0003065791022988459,2.436863473273264,8.290031279495414,0.880998481563982
1731474136.7085814,-0.3097893297672272,0.373074471950531,-9.942727088928223,-2.0285725230876797e-05,-0.00018635369653448755,-0.00036785011285563724,2.435741442811552,8.303083716253953,0.8809965487929776
1731474136.7085814,-0.36415764689445496,0.45885133743286133,-10.01577377319336,2.8166031440274284e-06,-0.00019009812355397983,-0.0004362742880043932,2.435719294442541,8.30345533428516,0.880996531189697
