Timestamp,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Filtered_X,Filtered_Y,Filtered_Z,Pose_X,Pose_Y,Pose_Z
1730865947.083904,-1.4505513906478882,1.3764179944992065,-9.885746955871582,0.0029623114559867575,-0.0037005819226956518,0.0010693361735119086,0.8626838174068988,-3.619523086106511,0.891139105263194
1730865947.1338828,-1.483825922012329,1.3574954271316528,-9.83907413482666,0.004522837540619508,-0.006243745977542617,0.0017836723593676646,0.876562760613557,-0.277519989589924,0.8903422148962902
1730865947.1838188,-1.5220105648040771,1.4168083667755127,-9.791072845458984,0.006485680980718839,-0.009865188550141664,0.0027784781775517927,0.8750519986207748,-0.6541090304791392,0.8892740503910957
1730865947.2339377,-1.466209888458252,1.5062932968139648,-9.781386375427246,0.008830095891234369,-0.014787334659314724,0.0041110662290673155,0.8238605045756288,-13.416671983956613,0.8530778333417324
1730865947.2838902,-1.7597566843032837,1.3032793998718262,-9.741059303283691,0.011519158229473076,-0.021227174186257004,0.005847026797657287,0.870123663252132,-1.8774648774913336,0.8803361675961642
1730865947.3337905,-1.7597566843032837,1.3032793998718262,-9.741059303283691,0.012980386924407634,-0.02507980303674412,0.006888497337300209,0.8669008561247336,-0.5625561663333292,0.8822042313054033
1730865947.3337905,-1.6816997528076172,1.2365984916687012,-9.753911018371582,0.01451562153397772,-0.029382838542052828,0.008058069021170303,0.866871886246153,-0.5660714959221754,0.8821859974889421
1730865947.3838024,-1.757475733757019,1.2633165121078491,-9.788309097290039,0.016124632643740765,-0.03415258252562214,0.009365100716370912,0.8613948136542807,-1.2331766791895908,0.8787377106484088
1730865947.4338114,-1.9410609006881714,1.2342725992202759,-9.715015411376953,0.017809019856597358,-0.03940073753796331,0.010818589085037428,0.8942725230139349,-1.9019034416217773,0.8841561368732419
1730865947.4836771,-1.7980672121047974,1.2204742431640625,-9.816902160644531,0.019572506496659134,-0.045134394506173126,0.012426948203812169,0.9027121323805188,-2.568844808626212,0.8829856538194257
1730865947.5337312,-1.6201061010360718,1.2407430410385132,-9.861479759216309,0.02142101940659493,-0.05135612764132706,0.01419773596918047,0.9112198951953994,-3.237245894965669,0.8818460794714738
1730865947.5837328,-1.6417081356048584,1.2559638023376465,-9.932706832885742,0.023361543997132122,-0.05806420485475501,0.016137030899016677,0.8899047140499622,-3.9058922027181477,0.8847962586854573
1730865947.6336718,-1.4783844947814941,1.2720919847488403,-9.962823867797852,0.025400420169721206,-0.06525298359067362,0.01824863257443509,0.8910441063556139,-4.575110061095416,0.8844447976263039
1730865947.6836586,-1.4127205610275269,1.249739170074463,-9.95790958404541,0.027541978895375012,-0.07291336814445938,0.02053349025237236,0.8922488484461675,-5.243987655554575,0.8841421165685962
1730865947.7336457,-1.4345476627349854,1.2176520824432373,-9.960887908935547,0.02978752412221049,-0.0810331084586205,0.022989545694083617,0.8822714166922004,-5.9094533484893175,0.8850204604097391
1730865947.7836764,-1.4345476627349854,1.2176520824432373,-9.960887908935547,0.0321348393317373,-0.0895968776040322,0.025611921989406886,0.8814041782097336,-6.578541918127745,0.8849319477583015
1730865947.7836764,-1.6071974039077759,1.2252144813537598,-9.856568336486816,0.03457854453248413,-0.0985863095691156,0.02839334315941931,0.8813994253745733,-6.582388652708195,0.884931624119793
1730865947.8337014,-1.6071974039077759,1.2252144813537598,-9.856568336486816,0.03711118920922843,-0.1079801965962024,0.031324821632405624,0.8806193332022155,-7.251621084485254,0.8849146683461292
1730865947.8337014,-1.532752275466919,1.1856809854507446,-9.923158645629883,0.039724451463146855,-0.11775478230921926,0.03439639669883813,0.8806156709942127,-7.254963177787828,0.8849147801493381
1730865947.8835726,-1.49844229221344,1.2116985321044922,-9.878271102905273,0.04240960846800443,-0.1278839818110188,0.03759745279080158,0.8767242728013901,-7.919326276259746,0.8849004153969696
1730865947.9345996,-1.521494746208191,1.106750726699829,-9.946966171264648,0.04515727368260217,-0.1383394912276466,0.04091666025680454,0.8755776219580893,-8.602366056781493,0.8849348709073618
1730865947.9846032,-1.521235466003418,1.066617727279663,-9.89339542388916,0.04795716539245238,-0.1490907114612633,0.044341908240619746,0.8748909305652893,-9.27203503049812,0.8845322944683832
1730865948.034629,-1.6524330377578735,0.9745575785636902,-9.893824577331543,0.05079834733472328,-0.16010440526337572,0.047860382142047825,0.8736000788604346,-9.941671119294348,0.8848356511707309
1730865948.0845356,-1.714928388595581,0.9513433575630188,-9.833707809448242,0.0536699738763804,-0.1713442667240746,0.051458855423266905,0.8728830465205833,-10.612529033158498,0.8850747500491185
1730865948.1347377,-1.6118273735046387,0.9223973155021667,-9.884674072265625,0.056562207861840366,-0.1827706887308063,0.05512411283316404,0.8722998255339164,-11.288894027886828,0.8854502670343415
1730865948.1846237,-1.3661701679229736,0.9260615110397339,-9.857068061828613,0.05946635057076331,-0.19434087757251364,0.05884322969774499,0.8718677433553446,-11.958130057645759,0.8859635768830509
1730865948.2345996,-1.2212275266647339,0.8862243294715881,-9.932165145874023,0.06237349972047381,-0.20600925973182113,0.06260357250115504,0.8720947875571115,-12.63174847551258,0.8852543777787417
1730865948.2835228,-1.0323896408081055,0.8774198889732361,-9.941996574401855,0.06527231546772648,-0.2177279745666849,0.06639257090374795,0.8719047443004144,-13.290937232574734,0.8856345882353899
1730865948.3344536,-1.2495695352554321,0.9381879568099976,-9.924843788146973,0.0681472499078939,-0.22944739889829976,0.07019741816061573,0.8706382854910496,-13.974635119020467,0.8852882801135697
1730865948.3844686,-1.4342632293701172,1.0002256631851196,-9.9284086227417,0.07097853243302028,-0.24111693390673444,0.07400495871444979,0.8703410784801716,-14.648651422718295,0.8856814235746175
1730865948.4344435,-1.6491162776947021,1.1198151111602783,-9.88106918334961,0.07374425258607523,-0.2526862187015285,0.07780186371113418,0.8702246924541417,-15.321395276064058,0.8862622644475219
1730865948.4846096,-1.8150001764297485,1.2128596305847168,-9.911548614501953,0.07642347619339313,-0.26410665578872905,0.08157494692585295,0.8702972218806112,-16.004543355104424,0.8870538210072659
