Timestamp,k_d_1,k_v_1,k_d_2,k_v_2,k_d_3,k_v_3
1730865946.384062,2.0,2.0,2.0,2.0,2.0,2.0
1730865946.7840548,1.7388343811035156,13.999011039733887,1.7388343811035156,13.999011039733887,1.7388343811035156,13.999011039733887
1730865946.8340745,2.73897385597229,14.999011039733887,2.73897385597229,14.999011039733887,2.73897385597229,14.999011039733887
1730865946.8340745,3.7390034198760986,15.999011039733887,3.7390034198760986,15.999011039733887,3.7390034198760986,15.999011039733887
1730865946.8840554,4.739075660705566,16.999011993408203,4.739075660705566,16.999011993408203,4.739075660705566,16.999011993408203
1730865946.8840554,5.739120960235596,17.999011993408203,5.739120960235596,17.999011993408203,5.739120960235596,17.999011993408203
1730865946.929719,0.8516126871109009,17.998289108276367,5.73908805847168,17.999011993408203,5.73908805847168,17.999011993408203
1730865946.9339588,1.8517392873764038,18.998289108276367,6.739469051361084,18.999011993408203,6.739469051361084,18.999011993408203
1730865946.9839773,2.855252504348755,19.998289108276367,7.744321823120117,19.999011993408203,7.744321823120117,19.999011993408203
1730865947.0211685,0.7406136393547058,19.980356216430664,7.744261741638184,19.999011993408203,7.744261741638184,19.999011993408203
1730865947.0338826,1.7972391843795776,20.980356216430664,8.826315879821777,20.999011993408203,8.826315879821777,20.999011993408203
1730865947.083904,2.9565372467041016,21.980356216430664,10.011201858520508,21.999011993408203,10.011201858520508,21.999011993408203
1730865947.083904,3.9577927589416504,22.980356216430664,11.012609481811523,22.999011993408203,11.012609481811523,22.999011993408203
1730865947.1177683,0.7982973456382751,22.071529388427734,11.012487411499023,22.999006271362305,11.012487411499023,22.999006271362305
1730865947.1338828,1.8947829008102417,23.071529388427734,12.304372787475586,23.999006271362305,12.304372787475586,23.999006271362305
1730865947.1838188,3.105395555496216,24.071529388427734,13.717599868774414,24.999006271362305,13.717599868774414,24.999006271362305
1730865947.2339377,4.433538436889648,25.071529388427734,15.25244426727295,25.999006271362305,15.25244426727295,25.999006271362305
1730865947.2397637,0.8159578442573547,22.29783821105957,15.252211570739746,25.99897003173828,15.252211570739746,25.99897003173828
1730865947.2838902,1.9439162015914917,23.29783821105957,16.91739273071289,26.99897003173828,16.91739273071289,26.99897003173828
1730865947.331433,0.6603164076805115,22.155254364013672,16.91710662841797,26.998916625976562,16.91710662841797,26.998916625976562
1730865947.3337905,1.776540994644165,23.155254364013672,18.704967498779297,27.998916625976562,18.704967498779297,27.998916625976562
1730865947.3838024,3.0079567432403564,24.155254364013672,20.64131736755371,28.998916625976562,20.64131736755371,28.998916625976562
1730865947.3971334,0.7504963278770447,22.07898712158203,20.640892028808594,28.998815536499023,20.640892028808594,28.998815536499023
1730865947.4338114,1.8774806261062622,23.07898712158203,22.714374542236328,29.998815536499023,22.714374542236328,29.998815536499023
1730865947.4836771,3.117198944091797,24.07898712158203,24.935359954833984,30.998815536499023,24.935359954833984,30.998815536499023
1730865947.5337312,4.473801136016846,25.07898712158203,27.30573081970215,31.998815536499023,27.30573081970215,31.998815536499023
1730865947.5710783,0.8173115849494934,21.89275550842285,27.30498695373535,31.998605728149414,27.30498695373535,31.998605728149414
1730865947.5837328,1.9483586549758911,22.89275550842285,29.83657455444336,32.99860382080078,29.83657455444336,32.99860382080078
1730865947.6336718,3.191254138946533,23.89275550842285,32.52986526489258,33.99860382080078,32.52986526489258,33.99860382080078
1730865947.6836586,4.551198959350586,24.89275550842285,35.39130783081055,34.99860382080078,35.39130783081055,34.99860382080078
1730865947.7026186,0.819858729839325,21.720163345336914,35.39005661010742,34.998226165771484,35.39005661010742,34.998226165771484
1730865947.7336457,1.9494496583938599,22.720163345336914,38.420291900634766,35.998226165771484,38.420291900634766,35.998226165771484
1730865947.7836764,3.1904079914093018,23.720163345336914,41.632362365722656,36.998226165771484,41.632362365722656,36.998226165771484
1730865947.8337014,4.548050880432129,24.720163345336914,45.02992630004883,37.998226165771484,45.02992630004883,37.998226165771484
1730865947.8507357,0.8197565078735352,21.593982696533203,45.027896881103516,37.99760818481445,45.027896881103516,37.99760818481445
1730865947.8835726,1.9481425285339355,22.593982696533203,48.59941864013672,38.99760818481445,48.59941864013672,38.99760818481445
1730865947.9345996,3.1933810710906982,23.593982696533203,52.431602478027344,39.99760818481445,52.431602478027344,39.99760818481445
1730865947.9375377,0.7615289688110352,21.477134704589844,52.42885208129883,39.99678421020508,52.42885208129883,39.99678421020508
1730865947.9846032,1.8869291543960571,22.477134704589844,56.414554595947266,40.99678421020508,56.414554595947266,40.99678421020508
1730865948.0291789,0.6536111831665039,21.369367599487305,56.411373138427734,40.9958381652832,56.411373138427734,40.9958381652832
1730865948.034629,1.7686563730239868,22.369367599487305,60.58251953125,41.9958381652832,60.58251953125,41.9958381652832
1730865948.0845356,2.9928171634674072,23.369367599487305,64.96267700195312,42.9958381652832,64.96267700195312,42.9958381652832
1730865948.1347377,4.333598613739014,24.369367599487305,69.57865142822266,43.9958381652832,69.57865142822266,43.9958381652832
1730865948.1846237,5.791651248931885,25.369367599487305,74.3893051147461,44.9958381652832,74.3893051147461,44.9958381652832
1730865948.2084496,0.852760374546051,21.39643096923828,74.3837661743164,44.99429702758789,0.9867355227470398,24.560495376586914
1730865948.2345996,1.9821137189865112,22.39643096923828,79.40695190429688,45.99429702758789,2.0996084213256836,25.560495376586914
1730865948.2835228,3.214872121810913,23.39643096923828,84.5765609741211,46.99429702758789,3.3314731121063232,26.560495376586914
1730865948.3200388,0.7627449035644531,21.36419105529785,84.56940460205078,46.99238204956055,0.7691316604614258,24.489639282226562
1730865948.3344536,1.8887193202972412,22.36419105529785,90.141845703125,47.99238204956055,1.9028993844985962,25.489639282226562
1730865948.3844686,3.1229164600372314,23.36419105529785,95.876953125,48.99238204956055,3.1605353355407715,26.489639282226562
1730865948.4344435,4.4701690673828125,24.36419105529785,101.83747863769531,49.99238204956055,4.54671049118042,27.489639282226562
1730865948.4846096,5.941396236419678,25.36419105529785,108.09809112548828,50.99238204956055,6.073028564453125,28.489639282226562
1730865948.4846096,6.946320533752441,26.36419105529785,109.14781951904297,51.99238204956055,7.078535556793213,29.489639282226562
1730865948.487838,0.874155580997467,22.824140548706055,109.13591003417969,51.98952102661133,0.8762151598930359,25.135398864746094
1730865948.5345068,1.9956934452056885,23.824140548706055,115.5458755493164,52.98952102661133,2.0099730491638184,26.135398864746094
