Timestamp,Sonar_Distance_1,Confidence_1,Sonar_Distance_2,Confidence_2,Sonar_Distance_3,Confidence_3,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,IMU_Angular_Vel_X,IMU_Angular_Vel_Y,IMU_Angular_Vel_Z
1727325440.889874,662.0,100.0,1499.0,84.0,0.0,0.0,0.5830233693122865,-0.4450913667678833,9.795098304748537,0.045643746852874756,0.017532702535390854,0.010052322410047056
1727325440.979753,662.0,100.0,1499.0,84.0,0.0,0.0,0.5243542790412904,-0.3100825548171997,9.735035896301271,0.03730058670043945,0.019350647926330566,-0.015807153657078746
1727325441.0747042,659.0,100.0,1450.0,87.0,0.0,0.0,0.47679442167282104,-0.24666570127010348,9.730103492736818,0.03387034311890603,0.025090575218200684,-0.040653347969055176
1727325441.1645424,659.0,100.0,1450.0,87.0,0.0,0.0,0.44298079609870916,-0.3104735016822815,9.765312194824219,0.00759810209274292,0.019340218976140026,-0.054179135710001
1727325441.2539911,659.0,100.0,1450.0,87.0,0.0,0.0,0.4141091406345368,-0.27274686098098755,9.702157974243164,-0.0015079975128173828,0.01829415746033192,-0.07369519025087358
1727325441.347918,657.0,100.0,1562.0,82.0,0.0,0.0,0.39642834663391113,-0.31197094917297363,9.710323333740234,-0.00858754012733698,0.017753243446350098,-0.08377880603075029
1727325441.4367282,657.0,100.0,1562.0,82.0,0.0,0.0,0.4633078277111054,-0.3768879771232605,9.766389846801758,-0.013281404972076416,0.022788347676396373,-0.09820312261581421
1727325441.526299,657.0,100.0,1562.0,82.0,0.0,0.0,0.41378819942474365,-0.3389280438423157,9.66965103149414,-0.012461840175092222,0.018511708825826645,-0.11426358669996263
1727325441.616094,655.0,100.0,1597.0,83.0,0.0,0.0,0.40146437287330633,-0.4280067384243012,9.684427261352539,-0.008036196231842041,0.02304911427199841,-0.10690540075302124
1727325441.7055547,655.0,100.0,1597.0,83.0,0.0,0.0,0.3989997208118439,-0.4009664058685303,9.687191009521484,-0.0017821788787841797,0.007696450222283603,-0.09103864431381226
1727325441.7870371,655.0,100.0,1597.0,83.0,0.0,0.0,0.3821755647659302,-0.35083493590354925,9.62127685546875,0.00925362389534712,0.014549495652318,-0.08925052732229234
1727325441.886542,655.0,100.0,1618.0,82.0,0.0,0.0,0.3689195513725281,-0.32377421855926514,9.660569190979006,0.013497472740709783,0.012767314910888672,-0.09692461043596269
1727325441.9709456,655.0,100.0,1618.0,82.0,0.0,0.0,0.3761708736419678,-0.26180750131607056,9.694356918334961,0.0048354268074035645,0.005079806316643954,-0.09706169366836548
1727325442.0605042,655.0,100.0,1618.0,82.0,0.0,0.0,0.37672832608222967,-0.17165225744247437,9.752552032470703,-0.01634955406188965,-0.0001236796524608508,-0.09752064943313599
1727325442.1559174,654.0,100.0,1619.0,83.0,0.0,0.0,0.34732761979103094,-0.18943901360034945,9.824260711669922,-0.02476424351334572,-0.0033184892963618044,-0.07861554622650146
1727325442.1941159,654.0,100.0,1619.0,83.0,0.0,0.0,0.3282036781311035,-0.20033076405525208,9.800092697143555,-0.034199655055999756,-0.010351835750043394,-0.07014573365449907
1727325442.2430942,654.0,100.0,1619.0,83.0,0.0,0.0,0.29689568281173706,-0.23151324689388278,9.786767005920412,-0.04408359900116921,-0.021734829992055893,-0.06822944432497026
1727325442.332263,654.0,100.0,1619.0,83.0,0.0,0.0,0.3168386518955231,-0.31923153996467596,9.735170364379883,-0.045186273753643036,-0.026772918179631237,-0.04024953022599221
1727325442.4268339,653.0,100.0,1658.0,83.0,0.0,0.0,0.3680215775966645,-0.4797946810722351,9.699403762817383,-0.039739906787872314,-0.025574864819645885,0.016294419765472412
1727325442.4642556,653.0,100.0,1658.0,83.0,0.0,0.0,0.423864096403122,-0.5905539989471436,9.743314743041992,-0.03664940595626831,-0.02779066748917103,0.032259527593851096
1727325442.517456,653.0,100.0,1658.0,83.0,0.0,0.0,0.4943135082721711,-0.6267331838607788,9.69415283203125,-0.016365947201848034,-0.03782064095139504,0.05227477103471756
1727325442.5555582,653.0,100.0,1658.0,83.0,0.0,0.0,0.5214632749557495,-0.648156225681305,9.718219757080078,0.0015631318092346191,-0.026525562629103664,0.05923956632614136
1727325442.6084783,653.0,100.0,1658.0,83.0,0.0,0.0,0.5677686333656312,-0.6479719877243042,9.720579147338867,0.015613436698913574,-0.028343498706817627,0.04336983337998391
1727325442.6462536,652.0,100.0,1658.0,83.0,0.0,0.0,0.5905448198318481,-0.639601767063141,9.663756370544435,0.028312209993600845,-0.029756134375929836,0.024701658636331558
1727325442.7047067,652.0,100.0,1684.0,83.0,0.0,0.0,0.6203140020370483,-0.5637143850326538,9.644792556762695,0.045391909778118134,-0.015453993342816831,0.004646181128919125
1727325442.7375848,652.0,100.0,1684.0,83.0,0.0,0.0,0.6295949220657349,-0.5704593658447266,9.629874229431154,0.044003132730722434,-0.007064640522003174,-0.004051626194268466
1727325442.8274698,652.0,100.0,1684.0,83.0,0.0,0.0,0.5575065612792969,-0.4527496099472046,9.609032630920412,0.06255804002285004,0.0007584689883515239,-0.021766128018498424
1727325442.9115028,651.0,100.0,1684.0,83.0,0.0,0.0,0.5100539326667787,-0.3650827407836914,9.625724792480469,0.05581080913543701,0.009727478958666326,-0.013794006779789925
1727325442.9696767,651.0,100.0,1437.0,56.0,0.0,0.0,0.46328184008598333,-0.25859588384628296,9.709933280944826,0.0530630424618721,0.003689528210088611,0.001536309951916337
