Timestamp,Pose_X,Confidence_1,Confidence_1_dev,Pose_Y,Confidence_2,Confidence_2_dev,Pose_Z,Confidence_3,Confidence_3_dev,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,Sonar_distance_1,Sonar_distance_2,Sonar_distance_3,Angle_X,Angle_Y,Angle_Z
1730865949.1342292,0.8673712731071933,99.64444732666016,100.0,0.8886782182142394,98.4222183227539,72.0,0.8429542022070501,98.57777404785156,96.0,-0.11444982885019842,-0.3599359628495228,-9.99601095675877,870.0,902.0,901.0,173.4440143649927,9.815348930825945,1.1511011357623324
1730865955.0333755,0.9459418634114063,99.5111083984375,96.0,7.300322695823466,98.35552978515625,84.0,0.8393557392644554,100.0,100.0,-0.24766372945758303,-0.2184024364578204,-10.710457544209909,950.0,6666.0,890.0,173.5113667589547,9.951006829692535,-7.033752833846529
1730865956.184022,0.9642975219282931,97.86666870117188,100.0,6.617485530762976,98.86668395996094,87.0,0.5456185339311194,99.84444427490234,100.0,-0.2501062631356007,-0.26551021211971687,-10.718912058676832,995.0,6617.0,870.0,174.0950472580808,10.310093554795456,-2.6088921359529578
1730865959.3839538,1.0681470154514252,99.6222152709961,100.0,6.368038898082005,98.3555679321289,62.0,0.8551386147698404,99.4222183227539,94.0,-0.28179672454030125,-0.26034505768039845,-10.633706956536733,1072.0,6359.0,902.0,173.21917678465724,9.829198090088559,-4.4585105159805325
1730865961.4334004,1.1009567863173717,100.0,94.0,1.5789333202502807,100.0,67.0,0.8414874506507592,99.28888702392578,94.0,-0.26600356029096955,-0.33095206111060316,-10.648127799821305,1102.0,1633.0,899.0,173.70626504420676,9.382170513576131,-10.059385436869647
1730865961.5833516,1.1027110864699223,99.82221984863281,95.0,1.6243884549421939,100.0,67.0,0.8591080355204096,100.0,94.0,-0.2657025897253089,-0.3341732247155675,-10.64674232468904,1105.0,1633.0,899.0,173.86195369539706,9.4563359693815,-9.514102374536249
1730865962.0337183,1.103836450112146,99.86666870117188,95.0,1.6341730928041271,99.86666870117188,69.0,0.883420285500863,99.95555877685547,94.0,-0.2647483916401626,-0.33769361972999956,-10.64224443434692,1103.0,1636.0,898.0,173.83169685554802,10.004469192962294,-7.761442776064141
1730865962.1345162,1.1036135837423138,99.91111755371094,95.0,1.6350168245245258,99.93333435058594,69.0,0.8874541627975443,99.97777557373047,94.0,-0.2641512687973987,-0.3366792242938289,-10.641029115364738,1103.0,1636.0,898.0,173.87832948951464,10.064441027236299,-7.292630786882635
1730865965.2333581,1.1184775513853165,99.82221984863281,94.0,5.807275954065736,95.08889770507812,77.0,0.8733232597816902,99.95555877685547,97.0,-0.28091679808595277,-0.32618120151750585,-10.637309957568085,1121.0,5771.0,920.0,173.34191470225167,9.565463629709436,-4.272547744919495
1730865968.4334073,1.1333572719751308,99.77777862548828,83.0,5.3136503965217345,94.31111145019531,79.0,0.6215972442722716,99.97777557373047,97.0,-0.27406919853161815,-0.3029507364209564,-10.64144427628945,1141.0,5294.0,915.0,173.72870905409513,9.600286240854588,-4.788588679764802
1730865968.5333052,1.1391248842862884,99.86666870117188,83.0,5.318418031085723,96.53333282470703,79.0,0.8739269043705814,100.0,97.0,-0.27409031479375745,-0.30235044253491883,-10.641700619465803,1141.0,5294.0,915.0,173.83430157249438,9.574797893718362,-4.6825794543320445
1730865969.0839987,1.1454109260422576,99.64443969726562,100.0,5.248096233426569,92.17777252197266,83.0,0.8972292276061937,99.9111099243164,97.0,-0.27483996679167655,-0.30427460738458045,-10.642885145614699,1149.0,5179.0,914.0,173.74168369361425,9.699882464008857,-4.5560878812212495
1730865970.5335526,1.164156754748688,98.4000015258789,100.0,5.053021102140813,97.39999389648438,50.0,0.8348502224319216,100.0,100.0,-0.2757753066676497,-0.2922184418055142,-10.645116680232722,1180.0,5036.0,887.0,173.8201368843292,9.79751920777864,-4.3590630251992994
1730865971.0846622,1.184288680882935,99.46666717529297,100.0,4.986905127988763,97.73333740234375,50.0,0.8727527375264201,99.97777557373047,100.0,-0.27264750577967384,-0.2808801428331116,-10.646334252691691,1189.0,4967.0,888.0,173.85036894511435,9.381009895156375,-4.104069009284235
1730865973.682793,1.227473988705266,99.55555725097656,100.0,4.7162949411032615,97.8888931274414,50.0,0.8563309514413682,99.97777557373047,95.0,-0.26663968589826204,-0.26054361557804573,-10.646989216907313,1232.0,4702.0,902.0,173.63994132057275,9.444002135714875,-3.21507820553068
1730865975.8351774,1.2596987262305417,99.4222183227539,100.0,4.4483007437200355,97.19998168945312,50.0,0.8865809416077144,99.93333435058594,95.0,-0.26949360467309313,-0.2828007773287734,-10.644358236684484,1265.0,4423.0,901.0,173.7390203688782,9.692753205105387,-1.1089305334017439
1730865975.933179,1.2642118879139284,99.86666870117188,100.0,4.43410543878324,98.1333236694336,50.0,0.859641812844648,99.95555877685547,95.0,-0.2696125327430701,-0.2841214153828734,-10.64429975815021,1265.0,4423.0,901.0,173.69504578379656,9.661075954444842,-0.8480878042882117
1730865977.4833887,1.2909390740520506,99.9111099243164,100.0,4.252701123227928,98.39998626708984,66.0,0.8732247522784456,100.0,95.0,-0.27174317834269873,-0.27774130502677086,-10.644841392910767,1292.0,4239.0,888.0,173.39339852460148,9.556423040657178,-3.3073468128077197
1730865978.5834239,1.321818923675435,96.75555419921875,100.0,4.114124176787737,96.11111450195312,100.0,0.6099760772971382,99.95555877685547,100.0,-0.2749466612902456,-0.2590915326600112,-10.643361369465051,1299.0,4098.0,877.0,174.17126519135178,9.427807872477246,-6.930785767693289
1730865978.9345264,1.2960568602575153,99.95555877685547,100.0,4.091820449363186,93.71109008789062,100.0,0.8589651748861833,100.0,100.0,-0.27502783411102333,-0.2597667993083769,-10.643008362476742,1300.0,4036.0,877.0,174.13080222319954,9.396558503696548,-7.932632579813018
1730865980.5829203,1.305630663480159,99.13333892822266,100.0,3.878935762258551,99.46665954589844,83.0,0.827551807166224,99.95555877685547,100.0,-0.26975351354434657,-0.24298653192044264,-10.648443792035739,1299.0,3879.0,871.0,173.24822612205386,9.395223691925592,-6.693932789289177
1730865981.1328242,1.2888722506424979,99.77777862548828,100.0,3.834475191738991,98.02222442626953,66.0,0.5667748531338678,99.9111099243164,100.0,-0.26748555147503206,-0.23894702882187802,-10.650071798267186,1298.0,3832.0,872.0,173.12254829848325,9.607924384697856,-5.985083838904046
1730865982.6832743,1.2887301269692923,99.71111297607422,100.0,3.7028714166468295,95.02222442626953,100.0,0.8356288676927219,99.93333435058594,100.0,-0.27200620359233674,-0.30113159362107644,-10.641712302407273,1294.0,3664.0,883.0,173.74675959845214,9.387424272452147,-8.588192641208048
1730865985.8314095,1.329848748270276,99.55555725097656,100.0,3.34209614713976,94.0,100.0,0.8620375583961872,99.73332977294922,100.0,-0.2643062380215978,-0.23620413171345642,-10.647716004239292,1334.0,3289.0,882.0,173.4104353729596,9.490152135650426,-11.434154789432593
1730865986.7831223,1.3619909490996098,98.26666259765625,95.0,3.1832017656479636,95.84444427490234,100.0,0.606904693862297,99.95555114746094,100.0,-0.2618424529372876,-0.2576788680928671,-10.646304792757778,1376.0,3174.0,880.0,173.95346257578612,9.370789438495471,-9.786608027830379
1730865986.8817837,1.366403651641588,98.44445037841797,95.0,3.197727955047517,97.5999984741211,100.0,0.8695871314036351,99.9111099243164,100.0,-0.26159506592514753,-0.26093613028941676,-10.646009431036248,1382.0,3174.0,881.0,173.86553767737306,9.450662731244082,-9.15553874718797
1730865987.432888,1.3848501027848346,99.68888854980469,95.0,3.0881839899107275,95.51110076904297,100.0,0.5777357177329789,100.0,100.0,-0.25904349471465915,-0.27330841272214595,-10.645263436422711,1389.0,3074.0,881.0,173.45216142945785,9.741654637826024,-7.608696129739619
1730865988.4330232,1.41338766048514,99.6222152709961,95.0,3.009727272488478,97.24443817138672,100.0,0.8662915049801958,100.0,100.0,-0.2589298340190163,-0.2731277251880463,-10.644468507472528,1417.0,2985.0,881.0,173.89646814600366,9.503564943558608,-7.363618511501315
1730865990.0830455,1.4292552180525475,97.91111755371094,95.0,2.8118662399832552,98.4888916015625,100.0,0.8381332026395758,100.0,100.0,-0.26202653468554815,-0.2668426930155653,-10.646014489063768,1448.0,2805.0,879.0,174.04820068890115,9.409511278484967,-8.690122588774505
1730865992.7337763,1.4661057882185853,99.64443969726562,100.0,2.548169747820018,95.33334350585938,100.0,0.8710368196029685,100.0,100.0,-0.2638461198561574,-0.21759441946991323,-10.648842857774497,1470.0,2506.0,888.0,173.6899546554426,9.299899958347893,-13.060797401832833
1730865997.2315207,1.5230840156263148,99.73332977294922,100.0,2.041182840677492,97.86666107177734,100.0,0.8757589901908577,100.0,100.0,-0.27377171673607464,-0.20466730887874304,-10.64736197121198,1526.0,2020.0,888.0,174.3865119697137,9.66788443104923,-8.035138459568216
1730866000.982042,1.5921617921853903,99.11111450195312,100.0,1.658831335033378,98.0,100.0,0.7733487530613935,99.93333435058594,100.0,-0.2636676991715596,-0.12945130033930596,-10.653563590902557,1604.0,1640.0,889.0,174.83702332676305,9.6162361070533,-5.395015013092894
1730866001.4827864,1.6136161313392676,99.22222137451172,100.0,1.5992802061406843,96.73333740234375,100.0,0.6956678229843809,100.0,100.0,-0.2683139579033519,-0.13863168472664777,-10.652040221119126,1621.0,1580.0,889.0,174.57015924479055,9.574046773625929,-6.247099555633143
1730866002.5811543,1.6277838314063353,99.46665954589844,100.0,1.517046882546518,97.4888916015625,100.0,0.8776460274765016,100.0,100.0,-0.2694610496043496,-0.145495365088319,-10.651709493400983,1633.0,1494.0,889.0,174.45914889771313,9.629344500647042,-5.811328254927297
1730866003.1323264,1.632616457780515,99.73332977294922,100.0,1.459618346304906,97.4222183227539,100.0,0.7717743656883146,100.0,100.0,-0.26435145204420807,-0.14276411725359914,-10.652996237996305,1639.0,1436.0,889.0,174.56313582910332,9.552434272435256,-5.864660685160751
1730866009.2316673,1.6590590157418827,99.95555114746094,100.0,0.8767347990037525,96.0888900756836,100.0,0.8349025166319213,99.37777709960938,100.0,-0.27087716194924016,-0.171730240212968,-10.652622516867382,1661.0,847.0,882.0,174.61181623665243,9.516281283462288,-9.884307685079671
1730866009.6316204,1.660014180813467,99.44445037841797,100.0,0.8362680938829118,97.42222595214844,100.0,0.8495867433036269,99.62222290039062,100.0,-0.2684433352958283,-0.1539487700181594,-10.653107362903464,1656.0,818.0,894.0,174.77277753094916,9.394267277032881,-9.352284384586673
1730866011.8820508,1.6724817928069295,99.5333251953125,100.0,0.6309459226693863,98.93333435058594,100.0,0.8670305984028144,100.0,100.0,-0.254929491121739,-0.05382573310711718,-10.656333850505703,1677.0,625.0,909.0,175.18007826768357,9.717795495459304,-1.1564991031807865
1730866013.8815672,1.710470345231404,99.46666717529297,100.0,0.47985426787571395,97.75555419921875,100.0,0.6166397689563078,99.97777557373047,100.0,-0.25148319307689204,0.011056652873913098,-10.65513105304579,1716.0,472.0,908.0,175.86388106921024,10.397541525552654,30.53994569571303
