Method,RMSE_X,RMSE_Y,RMSE_Z,Variance_X,Variance_Y,Variance_Z
IMU,56.10078308771914,69.66725289524368,0.2562034830685143,1326.8200306171116,2131.4353215913247,0.03056186331781645
KF,0.09680469964054089,0.49025592226438575,0.005474796054025906,0.0020441504326469224,0.10608424411832372,7.827197015058002e-06
SBS,0.10054191333092355,0.4815583986720378,0.8826283441181288,0.002235761753462706,0.08348484504185903,6.026697853519809e-06
